name,brand,p/n,code,p_current,p_base,discount,tax,rating,opinions,cpu,cpu_ghz_min,cpu_ghz_max,ram,ram_mhz,ram_gb,gpu,disk1,disk1_gb,disk1_type,disk2,disk2_gb,disk2_type,display,display_inch,display_width,display_height,date,url
"Asus K543BA-GQ749 AMD A9-9425/8GB/256GB SSD/15.6""",Asus,K543BA-GQ749,264620,279.0,279.0,0.0,21.0,90.0,4," AMD® Dual-Core A9-9425 (2 Núcleos, 2 Subprocesos, Caché: 1MB Level 2, 3.1GHz hasta 3.7GHz, 64-bit)",3.1,3.7, RAM 8GB (8GB) DDR4 2400MHz,2400,8, AMD® RadeonTM R5 Graphics, 256GB SSD SATA3,256,SSD,,,," 15.6"" (39,62cm) LED Retroiluminado / 60Hz / Ultra Slim / 200nits / HD (1366x768/16:9) / Antirreflejos / NTSC:45%",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/asus-k543ba-gq749-amd-a9-9425-8gb-256gb-ssd-156
"MSI GP75 Leopard 9SF-1037XES Intel Core i7-9750H/16GB/1TB SSD/RTX 2070/17.3""",MSI,9S7-17E221-1037,226157,1599.0,1599.0,0.0,21.0,94.0,107," Intel Core Coffeelake refresh i7-9750H+HM370 (12 MB de caché, hasta 4,50 GHz)",,4.5, DDR IV 8GB*2 (2666MHz),2666,16," GeForce® RTX 2070, GDDR6 8GB", 1TB NVMe PCIe Gen3x4 SSD,1000,SSD,,,," 17.3"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",17.3,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gp75-leopard-9sf-1037xes-intel-core-i7-9750h-16gb-1tb-ssd-rtx-2070-173
"MSI Modern 14 A10M-499XES Intel Core i7-10510U/16GB/512GB SSD/14""",MSI,9S7-14B362-499,236295,849.0,898.99,6.0,21.0,85.7,35, Comet lake I7-10510U,,, DDR IV 16GB (2666MHz),2666,16, UMA, 512GB NVMe PCIe SSD,512,SSD,,,," 14"" FHD (1920*1080), IPS-Level 60Hz 72%NTSC Thin Bezel, close to 100%sRGB",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-modern-14-a10m-499xes-intel-core-i7-10510u-16gb-512gb-ssd-14
"HP 240 G7 Intel Celeron N4000/8GB/128GB SSD/14""",HP,6HL12EA,213079,319.0,319.0,0.0,21.0,94.3,14," Intel® Celeron N4000 (1.1 GHz, 4 MB)",1.1,, RAM 8GB DDR4 SODIMM,,8, Intel HD Grapchis, 128 GB SSD M.2,128,SSD,,,," 14"" LED HD (1366 x 768) 16:9",14.0,1366,768,2020-04-01,https://www.pccomponentes.com/hp-240-g7-intel-celeron-n4000-8gb-128gb-ssd-14
"HP 15-DA0208NS Intel Core i3-7020U/8GB/256GB SSD/15.6""",HP,6EN42EA,251843,398.99,398.99,0.0,21.0,82.2,9," Intel® Core i3-7020U(2.3 GHz, 3MB)",2.3,, RAM 8 GB DDR4-2133 SDRAM (1 x 8 GB),2133,8, Intel HD Graphics 620, SSD de 256 GB PCIe® NVMe? M.2,256,SSD,,,," Pantalla con retroiluminación WLED HD SVA BrightView de 39,6 cm (15,6 pulgadas) en diagonal (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15-da0208ns-intel-core-i3-7020u-8gb-256gb-ssd-156
"Asus TUF Gaming FX505GT-BQ028 Intel Core i7-9750H/16GB/512GB SSD/GTX 1650/15.6""",Asus,FX505GT-BQ028,256827,879.0,999.0,13.0,21.0,87.7,227," Intel® Core™ i7-9750H (6 Núcleos, 12 Subprocesos, Caché: 12MB Level 3, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5, RAM 16GB (8GB*2) DDR4 2666MHz,2666,16, NVIDIA® GeForce® GTX 1650 4GB GDDR5 VRAM, 512GB SSD M.2 PCIe® NVMe,512,SSD,,,," 15.6"" LED FullHD (1920 x 1080) 16:9 IPS Antirreflejos",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-tuf-gaming-fx505gt-bq028-intel-core-i7-9750h-16gb-512gb-ssd-gtx-1650-156
"Lenovo V130-15IKB Intel Core i3-7020U/8GB/256GB SSD/15.6""",Lenovo,81HN00PBSP,220511,419.0,419.0,0.0,21.0,90.0,10, Intel® Core™ i3-7020U (hasta 2.3GHz),,2.3, RAM 8GB (4GB soldada en placa; 1/1 sockets) DDR4-2133MHz,2133,8, Intel HD Graphics 620, 256GB M.2 (2242) SSD / PCIe 3.0 NVMe,256,SSD,,,," 15.6"" (1920x1080 FullHD) LED mate",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-v130-15ikb-intel-core-i3-7020u-8gb-256gb-ssd-156
"Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Gris Espacial",Apple,MVFJ2Y/A,220615,1089.0,1089.0,0.0,21.0,97.1,14,"Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 3,6 GHz) y 4 MB de caché de nivel 3",1.6,3.6,8 GB de memoria LPDDR3 integrada a 2.133 MHz,2133,8,Intel UHD Graphics 617Compatible con procesadores gráficos externos (eGPU) con tecnología Thunderbolt 3,SSD PCIe de 256 GB,256,SSD,,,,"Pantalla RetinaPantalla retroiluminada por LED de 13,3 pulgadas (en diagonal) con tecnología IPS; resolución nativa de 2.560 por 1.600 a 227 píxeles por pulgada compatible con millones de coloresResoluciones adaptadas compatibles:1.680 por 1.0501.440 por 9001.024 por 640Relación dimensional de 16:10Tecnología True Tone",13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-gris-espacial
"Acer Nitro 5 AN515-54-52G3 Intel Core i5-9300H/8GB/256GB SSD/GTX 1050/15.6""",Acer,NH.Q5AEB.02D,257918,599.0,699.0,15.0,21.0,97.5,8," Intel® Core i5-9300H (2.4Ghz, 8MB)",2.4,, 8 GB DDR4 ,,8, NVIDIA® GeForce GTX 1050 3GB GDDR5, 256GB SSD PCIe NVMe,256,SSD,,,," 15.6"" FullHD (1920 x 1080) 16:9 IPS ",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/acer-nitro-5-an515-54-52g3-intel-core-i5-9300h-8gb-256gb-ssd-gtx-1050-156
"Toshiba Satellite Pro R50-C-1E8 Intel Celeron 3855U/4GB/128GB SSD/15.6"" W10 Pro",Toshiba,PS571E-0L909MCE,157623,299.0,299.0,0.0,21.0,89.1,64," Intel® Celeron® 3855U de 6ª generación (1.60GHz, 2MB)",1.6,, RAM 4 GB DDR3L 1600 MHz,1600,4, Intel® HD Graphics 510, 128GB SSD M.2,128,SSD,,,," 39,6 cm (15,6 "") Pantalla Toshiba 1.366 x 768 (HD) Mate 16:9 Plana",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/toshiba-satellite-pro-r50-c-1e8-intel-celeron-3855u-4gb-128gb-ssd-156-w10-pro
"Lenovo Ideapad 330-15ARR AMD Ryzen 5 2500U/8GB/256GB SSD/15.6""",Lenovo,81D2007KSP,254259,499.0,529.0,6.0,21.0,83.3,18," AMD Ryzen 5 2500U (4 núcleos, 2.0/3.6 GHz, 2MB caché)",2.0,3.6, RAM 8 GB DDR4 2400 MHz (4 GB Soldada a placa + 4 GB DIMM),2400,8, Integrado AMD Radeon Vega 8, 256 GB SSD,256,SSD,,,," 15.6"" HD (1366x768) Anti-glare",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-330-15arr-amd-ryzen-5-2500u-8gb-256gb-ssd-156
"Lenovo Ideapad S540-14IWL Intel Core i7-8565/12GB/512GB SSD/14""",Lenovo,81ND00E2SP,250963,749.0,849.0,12.0,21.0,90.0,8," Intel Core i7-8565U (4C / 8T, 1.8 / 4.6GHz, 8MB)",1.8,4.6, RAM 4GB OnBoard+ 8GB DIMM DDR4-2400,2400,12, Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 14"" FHD (1920x1080) IPS 300nits Glossy, Glass",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s540-14iwl-intel-core-i7-8565-12gb-512gb-ssd-14
"Lenovo Legion Y540-15IRH Intel Core i7-9750H/16GB/1TB+256GB SSD/GTX1660Ti/15.6""",Lenovo,81SX00AYSP,229086,1199.0,1449.0,18.0,21.0,90.0,16," Intel Core i7-9750H (6C / 12T, 2.6 / 4.5GHz, 12MB)",2.6,4.5, RAM 2x 8GB DIMM DDR4-2666,2666,8, NVIDIA GeForce GTX 1660 Ti 6GB GDDR6, 256GB SSD M.2 2280 PCIe NVMe ,256,SSD," 1TB HDD 7200rpm 2.5""",256,HDD," 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 144Hz",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-legion-y540-15irh-intel-core-i7-9750h-16gb-1tb-256gb-ssd-gtx1660ti-156
"Lenovo IdeaPad S340-15API AMD Ryzen 3 3200U/4GB/128GB SSD/15.6""",Lenovo,81NC007QSP,254260,349.0,428.99,19.0,21.0,89.1,11," AMD Ryzen 3 3200U (2C / 4T, 2.6 / 3.5GHz, 1MB L2 / 4MB L3)",2.6,3.5, RAM 4GB Soldered DDR4-2400,2400,4, Integrated AMD Radeon Vega 3 Graphics, 128GB SSD M.2 2242 PCIe NVMe 3.0,128,SSD, 128GB SSD M.2 2242 PCIe NVMe 3.0,128,SSD," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-4gb-128gb-ssd-156
"Lenovo Ideapad 330-15ICH Intel Core i7-8750H/8 GB/1TB/GTX 1050/15.6""",Lenovo,81FK00ENSP,258875,599.0,898.99,34.0,21.0,80.0,19," Intel Core i7-8750H (6 núcleos, frecuencia hasta 4.1 GHz, 9MB caché)",,4.1, RAM 8 GB DDR4 2400 MHz (4GB soldada a placa + 4GB DIMM),2400,8, Nvidia GeForce GTX 1050 2GB GDDR5," 1TB 2.5"" SATA3 5400rpm",1000,SATA,,,," 15.6"" FHD (1920x1080) Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-330-15ich-intel-core-i7-8750h-8-gb-1tb-gtx-1050-156
"MSI GL75 9SDK-268XES Intel Core i7-9750H/16GB/1TB SSD/GTX 1660Ti/17.3""",MSI,9S7-17E512-268,269803,1199.0,1199.0,0.0,21.0,0.0,0," Intel Core Coffeelake refresh i7-9750H+HM370 (12 MB de caché, hasta 4,50 GHz)",,4.5, DDR IV 8GB*2 (2666MHz),2666,16," GeForce® GTX 1660 Ti ,GDDR6 6GB", 1TB NVMe PCIe Gen3x4 SSD,1000,SSD,,,," 17.3"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",17.3,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gl75-9sdk-268xes-intel-core-i7-9750h-16gb-1tb-ssd-gtx-1660ti-173
"HP 15-DW0031NS Intel Core i3-7020U/8GB/256GB SSD/15.6""",HP,7VX77EA#ABE,228868,399.0,399.0,0.0,21.0,91.4,21," Intel® Core? i3-7020U (frecuencia base de 2,3 GHz, 3 MB de caché, 2 núcleos)",2.3,, RAM 8 GB DDR4-2133 SDRAM (1 x 8 GB),2133,8, Intel® HD Graphics 620, SSD M.2 de 256 GB,256,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6 pulgadas) en diagonal de tipo micro-edge (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15-dw0031ns-intel-core-i3-7020u-8gb-256gb-ssd-156
"MSI GL65 9SEK-210XES Intel Core i7-9750H/16GB/512GB SSD/RTX 2060/15.6""",MSI,9S7-16U512-210,236059,1199.0,1348.99,12.0,21.0,93.8,16," Intel Core Coffeelake refresh i7-9750H+HM370 (12 MB de caché, hasta 4,50 GHz)",,4.5, DDR IV 8GB*2 (2666MHz),2666,16," GeForce® RTX 2060, GDDR6 6GB", 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gl65-9sek-210xes-intel-core-i7-9750h-16gb-512gb-ssd-rtx-2060-156
"Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Oro",Apple,MVFN2Y/A,220638,1089.0,1089.0,0.0,21.0,100.0,10,"Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 3,6 GHz) y 4 MB de caché de nivel 3",1.6,3.6,8 GB de memoria LPDDR3 integrada a 2.133 MHz,2133,8,Intel UHD Graphics 617Compatible con procesadores gráficos externos (eGPU) con tecnología Thunderbolt 3,SSD PCIe de 256 GB,256,SSD,,,,"Pantalla RetinaPantalla retroiluminada por LED de 13,3 pulgadas (en diagonal) con tecnología IPS; resolución nativa de 2.560 por 1.600 a 227 píxeles por pulgada compatible con millones de coloresResoluciones adaptadas compatibles:1.680 por 1.0501.440 por 9001.024 por 640Relación dimensional de 16:10Tecnología True Tone",13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-oro
"Acer Aspire 5 A515-54-73GE Intel Core i7-10510U/8GB/512GB SSD/15.6""",Acer,NX.HN2EB.00C,264615,659.0,659.0,0.0,21.0,90.0,2, Intel® Core i7-10510U 1.8 GHz 8MB,1.8,, RAM 8 GB DDR4 Memory,,8, Intel® UHD Graphics 620, 512GB PCIe NVMe SSD,512,SSD,,,," 15.6"" FHD Acer ComfyView LED LCD FHD (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/acer-aspire-5-a515-54-73ge-intel-core-i7-10510u-8gb-512gb-ssd-156
"Asus ZenBook 13 UX333FA-A3278T Intel Core i7-8565U/16GB/512GB SSD/13.3""",Asus,90NB0JV2-M08270,261970,879.0,879.0,0.0,21.0,100.0,2," Intel® Core™ i7-8565U (4 Núcleos, 8 Subprocesos, Caché: 8MB SmartCache, frecuencia de 1.80 hasta 4.60 GHz) ",1.8,4.6, RAM 16GB LPDDR3 2133 MHz (en placa),2133,16, Intel® UHD Graphics 620, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD," 13.3"" (33,78cm) LED Retroiluminado / 60Hz / NanoEdge (Borde Estrecho) / 250nits / FHD (1920x1080/16:9) / Antirreflejos / NTSC:72% / SRGB:100% / IPS / Ángulo de Visión de 178º",13.3,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-zenbook-13-ux333fa-a3278t-intel-core-i7-8565u-16gb-512gb-ssd-133
"HP 15-DA0195NS Intel Core i3-7020U/8GB/128GBSSD/15.6""",HP,6EM23EA,223613,379.0,448.99,16.0,21.0,100.0,1," Intel Core i3-7020U (3MB Cache, 2.3GHz)",2.3,, RAM 8GB (2133MHz) DDR4-SDRAM (1 x 8),2133,8, Integrada: Intel® HD Graphics 620, SSD M.2 de 128 GB,128,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6"") en diagonal (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15-da0195ns-intel-core-i3-7020u-8gb-128gbssd-156
"HP 15S-FQ1040NS Intel Core i5-1035G1/8GB/512GB SSD/15.6"" + Windows 10 Pro",HP,FQ1040NS-W10,280114,699.0,699.0,0.0,21.0,100.0,1," i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel®Turbo Boost, 6 MB de caché, 4 núcleos)",1.0,3.6, RAM SDRAM DDR4-2666 de 8 GB (1 x 8 GB)Velocidades de transferencia de hasta 2666 MT/s),2666,8, Gráficos Intel® UHD, SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6 pulgadas) en diagonal de tipo micro-edge (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15s-fq1040ns-intel-core-i5-1035g1-8gb-512gb-ssd-156-windows-10-pro
"HP Pavilion 15-CS3003NS Intel Core i5-1035G1/8GB/512GB SSD/GTX 1050/15.6""",HP,7SA68EA,252573,649.0,698.99,8.0,21.0,90.8,24," Intel® Core i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché, 4 núcleos)",1.0,3.6, RAM SDRAM DDR4-2666 de 8 GB (1 x 8 GB). Velocidades de transferencia de hasta 2666 MT/s,2666,8,  NVIDIA® GeForce® GTX 1050 (GDDR5 de 3 GB dedicada), SSD de 512 GB PCIe® NVMe M.2,512,SSD,,,," FHD IPS de 15,6"" (39,6 cm) en diagonal antirreflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-15-cs3003ns-intel-core-i5-1035g1-8gb-512gb-ssd-gtx-1050-156
"HP Pavilion Gaming 15-DK0019NS Intel Core i5-9300H/16GB/1TB SSD/GTX 1660Ti/15.6""",HP,8PK54EA,252600,949.0,949.0,0.0,21.0,80.0,14," Intel® Core  i5-9300H (frecuencia base de 2,4 GHz, hasta 4,1 GHz con Tecnología Intel® Turbo Boost, 8 MB de caché, 4 núcleos)",2.4,4.1," RAM SDRAM DDR4-2666 de 16 GB (2 x 8 GB), velocidades de transferencia de hasta 2666 MT/s",2666,16, NVIDIA® GeForce® GTX 1660 Ti con diseño Max-Q (GDDR6 de 6 GB dedicada), SSD de 1 TB PCIe® NVMe M.2,1000,SSD,,,," FHD IPS de 15,6"" (39,6 cm) en diagonal antirreflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-gaming-15-dk0019ns-intel-core-i5-9300h-16gb-1tb-ssd-gtx-1660ti-156
"MSI GF65 Thin 9SD-072XES Intel Core i7-9750H/16GB/512GB SSD/GTX 1660Ti/15.6""",MSI,9S7-16W112-072,243297,1149.0,1149.0,0.0,21.0,90.2,41, Intel® Core? Coffeelake refresh i7-9750H+HM370,,, RAM DDR IV 8GB*2 (2666MHz),2666,16," GeForce® GTX 1660 Ti ,GDDR6 6GB", 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 120Hz Thin Bezel",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf65-thin-9sd-072xes-intel-core-i7-9750h-16gb-512gb-ssd-gtx-1660ti-156
"Lenovo Yoga 530-14IKB Intel Core i7-8550U/8GB/512GB SSD/14"" Táctil",Lenovo,81EK00WTSP,270649,849.0,849.0,0.0,21.0,86.7,3," Intel Core i7-8550U (4C / 8T, 1.8 / 4.0GHz, 8MB)",1.8,4.0, RAM 1x 8GB DIMM DDR4-2400,2400,8, Tarjeta gráfica integrada Intel HD Graphics 620, 512GB SSD M.2 2242 PCIe,512,SSD,,,," 14"" FHD (1920x1080) IPS 250nits Glossy",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-yoga-530-14ikb-intel-core-i7-8550u-8gb-512gb-ssd-14-tactil
"HP 14-CM0002NS AMD A9-9425/4GB/128GB SSD/14""",HP,6LF98EA,254252,275.0,369.0,26.0,21.0,92.0,5," AMD A9-9425 Dual-Core (frecuencia base de 3,1 GHz, frecuencia de ráfaga de hasta 3,7 GHz, 1 MB de caché)",3.1,3.7, RAM SDRAM DDR4-1866 de 4 GB (1 x 4 GB),1866,4, AMD Radeon™ R5, SSD M.2 de 128 GB,128,SSD,,,," Pantalla con retroiluminación WLED HD antirreflejos diagonal con área virtual compartida de 35,6 cm (14 pulgadas) (1366 x 768)",14.0,1366,768,2020-04-01,https://www.pccomponentes.com/hp-14-cm0002ns-amd-a9-9425-4gb-128gb-ssd-14
"Acer Aspire 3 A315-55G Intel Core i5-10210U/8GB/256GB/MX230/15.6""",Acer,NX.HNTEB.001,246144,559.0,599.0,7.0,21.0,86.7,9, Intel® Core? i5-10210U 1.6 GHz 6MB,1.6,, RAM 8 GB DDR4 Memory,,8, NVIDIA® GeForce® MX230 2G-GDDR5 (256*32*2) 7Gbps, 256GB PCIe NVMe SSD,256,SSD,,,," 15.6"" FHD Acer ComfyView LED LCD FHD (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/acer-aspire-3-a315-55g-intel-core-i5-10210u-8gb-256gb-mx230-156
"Apple MacBook Air Intel Core i5/8GB/128GB SSD/13.3"" Oro",Apple,MVFM2Y/A,220633,999.0,999.0,0.0,21.0,98.3,23,"Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 3,6 GHz) y 4 MB de caché de nivel 3",1.6,3.6,8 GB de memoria LPDDR3 integrada a 2.133 MHz,2133,8,Intel UHD Graphics 617Compatible con procesadores gráficos externos (eGPU) con tecnología Thunderbolt 3,SSD PCIe de 128 GB,128,SSD,,,,"Pantalla RetinaPantalla retroiluminada por LED de 13,3 pulgadas (en diagonal) con tecnología IPS; resolución nativa de 2.560 por 1.600 a 227 píxeles por pulgada compatible con millones de coloresResoluciones adaptadas compatibles:1.680 por 1.0501.440 por 9001.024 por 640Relación dimensional de 16:10Tecnología True Tone",13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-oro
"MSI GF63 Thin 9SC-047XES Intel Corei7-9750H/16GB/512GB SSD/GTX 1650/15.6"" Reacondicionado",MSI,9S7-16R312-047-RAS,208489,853.11,995.79,15.0,21.0,64.0,5, Intel Core Coffeelake refresh i7-9750H+HM370,,, 16GB DDR4 2666MHz (32GB Capacidad Máxima),2666,16, GTX 1650  MAX Q GDDR5 4GB, 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 60Hz 45%NTSCThin Bezel, typ. 250nit , CR 700",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf63-thin-9sc-047xes-intel-corei7-9750h16gb512gb-ssdgtx-1650156-reacondicionado
"Toshiba Tecra A40-D-1KE Intel Core i5-7200U/8GB/256GB SSD/14""",Toshiba,PS483E-0K4032CE,259226,549.0,649.0,16.0,21.0,86.7,6," Intel® Core i5-7200U (2,50 / 3,10 Turbo GHz, 3MB)",2.5,3.1, RAM 8 GB DDR4 2133 MHz (8+0),2133,8, Intel® UHD Graphics 620, 256 GB SSD M.2 SATA,256,SSD,,,," 35,6 cm (14,0"") Pantalla Toshiba HD antirreflejos con 16 : 9 de relación de aspecto y retroiluminación LED. Resolución: 1.366 x 768 (HD)",14.0,1366,768,2020-04-01,https://www.pccomponentes.com/toshiba-tecra-a40-d-1ke-intel-core-i5-7200u-8gb-256gb-ssd-14
